defined_class	defined_class_name	anatomical_entity	anatomical_entity_label	anatomical_space	anatomical_space_label	defined_class_definition	exact_syn	depicted_by	image_comment	def_dbxref	term_id	dbxref	has_obo_namespace
PLANA:0007519	anterior-posterior axis of the whole animal	PLANA:0000136	whole animal	BSPO:0000013	anterior-posterior axis	Axis that runs along the long axis of the animal from anterior (head) to posterior (tail). It is perpendicular to the dorsoventral axis and as such, it splits dorsal and ventral regions of the animal to either side.	anterior-posterior axis | main body axis | longitudinal axis | body axis	http://purl.obolibrary.org/obo/plana/images/anteroposterioraxis.png	Depiction shows an asexual adult with the term annotated in yellow. Scale bar =500um		PLANA:0007519	PMID:28072387|PMID:29547123|PMID:22445864|PMID:30471994	Planarian_Anatomy
PLANA:0007520	dorsal-ventral axis of the whole animal	PLANA:0000136	whole animal	BSPO:0000016	dorsal-ventral axis	Axis that runs along the short axis of the animal, perpendicular to the anteroposterior axis, running from the dorsal (back) side of the animal to the ventral (belly) side of the animal. This axis splits anterior and posterior regions of the animal to either side.	dorsal-ventral axis|D/V axis|DV axis	http://purl.obolibrary.org/obo/plana/images/dorsal-ventralaxisofthewholeanimal.png		PMID:27063937|PMID:23318641|PMID:18786419|PMID:29547123|PMID:23954785|PMID:25017721|PMID:30471994|PMID:22445864|PMID:29674431|PMID:28686611|PMID:29100657|PMID:19174194|PMID:21806978|PMID:28292427|PMID:21664348|PMID:21295483|PMID:24523458|PMID:27523733|PMID:27612382|PMID:28137894|PMID:21295481|PMID:18287199|PMID:24415944	PLANA:0007520		Planarian_Anatomy
PLANA:0007503	sagittal plane of the whole animal	PLANA:0000136	whole animal	BSPO:0000417	sagittal plane	Anatomical plane which divides the body into right and left parts. This plane passes through the midline at the midline but does not always the midline. 		http://purl.obolibrary.org/obo/plana/images/sagittalplaneofthewholeanimal.png	Illustration of a sagittal plane of the whole animal (in green).		PLANA:0007503		Planarian_Anatomy
PLANA:0004511	oral-aboral axis of the embryo	PLANA:0000116	embryo	BSPO:0000198	oral-aboral axis	Axis that runs from the oral pole and to the aboral pole of the spherical embryo (Stage 3 through early Stage 6). The oral pole is centered around the embryonic pharynx; the aboral pole is located opposite the embryonic pharynx.		http://purl.obolibrary.org/obo/plana/images/oralaboralaxis.png	Illustration noting the oral-aboral axis in cyan double headed arrow.  It starts at the embryonic pharynx and extends to opposite pole.	PMID:28072387	PLANA:0004511		Planarian_Anatomy
PLANA:0007521	left-right axis of the whole animal	PLANA:0000136	whole animal	BSPO:0000017	left-right axis	Axis perpendicular to both the anteroposterior and dorsoventral axis that runs from the left side of the animal, through the medial region (center) and out to the right side.	left-right axis | dextro-sinister axis	http://purl.obolibrary.org/obo/plana/images/dextro-sinisteraxis.png	Depiction shows an asexual adult with the term annotated in yellow. Scale bar =500um		PLANA:0007521		Planarian_Anatomy
PLANA:0007522	medial-lateral axis of the whole animal	PLANA:0000136	whole animal	BSPO:0001001	medial-lateral axis	Axis that runs from the center of the body, starting at the anteroposterior axis and out to the lateral (left, right, dorsal or ventral) surface of the animal.	medial-lateral axis | mediolateral  | mediolateral | mediolateral axis 	http://purl.obolibrary.org/obo/plana/images/mediolateralaxis.png	Depiction shows an asexual adult with the term annotated in yellow. Scale bar =500um	PMID:20707997|PMID:21282632|PMID:21295483|PMID:21664348|PMID:21806978|PMID:23250205|PMID:23318641|PMID:23903188|PMID:23954785|PMID:25017721|PMID:26062938|PMID:26525673|PMID:27523733|PMID:28287248|PMID:29291981|PMID:29547123|PMID:30471994|PMID:30962434	PLANA:0007522		Planarian_Anatomy
PLANA:0007523	proximal-distal axis of the whole animal	PLANA:0000136	whole animal	BSPO:0000015	proximal-distal axis	Axis that starts at the distal part of an appendage, closest to the body, and runs to the proximal part of an appendage, farthest from the body.	proximal-distal axis	http://purl.obolibrary.org/obo/plana/images/proximodistalaxis.png	Pharynx of an asexual adult exposed by tricaine treatment. The proximodistal axis is denoted with the double headed magenta arrow.	PMID:21828097	PLANA:0007523		Planarian_Anatomy
PLANA:0000410	basal surface of the epidermis	PLANA:0000034	epidermis	BSPO:0000374	basal surface	The basal surface of the epidermis in direct contact with the basal lamina.		http://purl.obolibrary.org/obo/plana/images/basalepidermissurface.png	Electron micrograph of the dorsal epidermis in a transverse plane. The basal epidermis surface is noted with magenta arrows. Scale bar is 5um.		PLANA:0000410		Planarian_Anatomy
PLANA:0000409	apical surface of the epidermis	PLANA:0000034	epidermis	BSPO:0000373	apical surface	The apical surface of the single layered epidermis that is in contact with the environment.		http://purl.obolibrary.org/obo/plana/images/apicalepidermissurface.png	Electron micrograph of the dorsal epidermis in a transverse plane from an asexual adult animal. The apical epidermis surface is noted with magenta arrows. Scale bar is 5um.		PLANA:0000409		Planarian_Anatomy
PLANA:0000140	anterior region of the whole animal	PLANA:0000136	whole animal	BSPO:0000071	anterior region	Compartment along the anteroposterior axis closer to the head rather than the tail, from the head margin to the esophagus.		http://purl.obolibrary.org/obo/plana/images/anteriorregionofthewholeanimal.png	Illustration of the anterior region of the whole animal (in green).	OCLC:16809160|PMID:27800171|PMID:24063805|PMID:30143032|PMID:23318635|PMID:16311336|PMID:28893948|PMID:27240733|PMID:18456843|PMID:17390146|PMID:20422023|PMID:19805089|PMID:27074666|PMID:21356107|PMID:27013241|PMID:28072387|ISBN:9780070316607|PMID:25558068|PMID:29547123|PMID:19247960|PMID:23405188|PMID:29273738|PMID:22479207|PMID:24523458|PMID:27612382|PMID:21566185|PMID:22385657|PMID:17376870|PMID:27034770|PMID:26114597|PMID:19174194|PMID:25356635|PMID:24040508|PMID:26884331|PMID:22339734|PMID:18063757|PMID:25017721|PMID:16033796|PMID:30471994|PMID:24063805|PMID:30485821|PMID:19211673|PMID:22696458|PMID:27063937|PMID:25493551|PMID:21295481|PMID:23318635|PMID:28287248|PMID:21282632|PMID:29557542|PMID:19766622|PMID:30962434|PMID:27612384|PMID:23250205|PMID:24950970|PMID:20215344|PMID:26556349|PMID:29906446|PMID:23629965|PMID:21894189|PMID:18786419|PMID:19933103|PMID:27150006|PMID:22899852|PMID:24415944|PMID:24367277|PMID:21937596|PMID:16033796|PMID:22439894|PMID:19852954|PMID:21806978|PMID:21828097|PMID:21852957|PMID:17251262|PMID:19048075|PMID:25278423|PMID:23297191|PMID:20422023|PMID:23903188|PMID:26651295|PMID:26062938	PLANA:0000140		Planarian_Anatomy
PLANA:0000141	dorsal region of the whole animal	PLANA:0000136	whole animal	BSPO:0000079	dorsal region	Three dimensional compartment along the dorsoventral axis that is above the anteroposterior axis, containing the eyes.		http://purl.obolibrary.org/obo/plana/images/dorsalregionofthewholeanimal.png	Illustration of the dorsal region of the whole animal (in green).		PLANA:0000141		Planarian_Anatomy
PLANA:0000054	dorsal region of the epidermis	PLANA:0000034	epidermis	BSPO:0000079	dorsal region	Single cell layer of dorsal, post-mitotic, epithelial cells containing the dorsal stripe.	dorsal epithelium	http://purl.obolibrary.org/obo/plana/images/dorsalepidermis.png	Image is an electron micrograph depicting the dorsal epidermis (arrowheads). Also visible in this micrograph, immediately deep to the epidermis is the basal lamina and beneath that is a photoreceptor. Scale bar is 10 um.	PMID:22479207|PMID:19048075|PMID:26457503|PMID:17942485|ISBN:9780070316607|PMID:20844018|PMID:27612382|PMID:20599901|PMID:19852954|PMID:28292427|PMID:22385657	PLANA:0000054		Planarian_Anatomy
PLANA:0000032	dorsal midline	PLANA:0000030	midline	BSPO:0000079	dorsal region	The median line/plane of bilateral symmetry along the anteroposterior axis on the dorsal surface of the animal.		http://purl.obolibrary.org/obo/plana/images/dorsalmidline.png	Illustration of the dorsal midline (in green).		PLANA:0000032		Planarian_Anatomy
PLANA:0000038	ventral midline	PLANA:0000030	midline	BSPO:0000084	ventral region	The median line/ plane of bilateral symmetry along the anteroposterior axis on the ventral surface of the animal.		http://purl.obolibrary.org/obo/plana/images/ventralmidline.png	Illustration of the ventral midline (in green).		PLANA:0000038		Planarian_Anatomy
PLANA:0000142	posterior region of the whole animal	PLANA:0000136	whole animal	BSPO:0000090	posterior region	Three dimensional compartment along the anteroposterior axis that is closer to the tail rather than the head, from the anterior boundary of the pharyngeal pouch to the tip of the tail.	posterior compartment of the whole animal	http://purl.obolibrary.org/obo/plana/images/posteriorcompartmentofthewholeanimal.png	Illustration of the posterior compartement of the whole animal (in green). 		PLANA:0000142		Planarian_Anatomy
PLANA:0000143	ventral region of the whole animal	PLANA:0000136	whole animal	BSPO:0000084	ventral region	Compartment along the dorsoventral axis that is below the anteroposterior axis.		http://purl.obolibrary.org/obo/plana/images/ventralregionofthewholeanimal.png	Illustration of the ventral region of the whole animal (in green).		PLANA:0000143		Planarian_Anatomy
PLANA:0000096	ventral epidermis	PLANA:0000034	epidermis	BSPO:0000084	ventral region	Single cell layer of ventral, post-mitotic, heavily ciliated epithelial cells	cilated ventral epidermis|ciliated ventral epithelium|ventral epithelia|ventral epithelium | ventral epidermin			PMID:25017721|PMID:26912790|PMID:23903188|PMID:29100657|PMID:26457503|PMID:30962434|PMID:23144623|PMID:20599901|ISBN:9780070316607|PMID:28292427|PMID:19852954|PMID:21282632|PMID:15866156|PMID:27068018|PMID:24523458|PMID:30383829|PMID:17942485	PLANA:0000096		Planarian_Anatomy
PLANA:0000043	dorsal ventral margin of the whole animal	PLANA:0000136	whole animal	BSPO:0000094	dorsal/ventral compartment boundary	Region along the edge of the animal where the dorsal and ventral surfaces meet.	dorsoventral margin | edge | D/V boundary|DV border|DV boundary|DV domain|DV margin|body edge|body margin|body periphery|dorsal ventral boundary|dorsal-ventral boundary	http://purl.obolibrary.org/obo/plana/images/dorsalventralmarginofthewholeanimal.png		PMID:22549959|PMID:30485821|PMID:21458439|PMID:22696458|PMID:29674432|PMID:26457503|PMID:20865784|PMID:19174194|PMID:29357350|ISBN:9780070316607|PMID:29674431|PMID:24415944|PMID:28216315|PMID:30399335|PMID:21295481|PMID:17905225|PMID:21295483	PLANA:0000043		Planarian_Anatomy
PLANA:0003000	dorsal region of tail	PLANA:0000421	tail	BSPO:0000079	dorsal region	The dorsal region of the tail.		http://purl.obolibrary.org/obo/plana/images/dorsalregionoftail.png	Illustration of the dorsal region of the tail (in green).		PLANA:0003000		Planarian_Anatomy
PLANA:0003001	lateral region of the whole animal	PLANA:0000136	whole animal	BSPO:0000082	lateral region	The lateral region of the medio-lateral axis of the whole animal.							Planarian_Anatomy
