defined_class	defined_class_name	exact_syn	dbxref
PLANA:0000066	gastrodermis	gut epithelia|gut epithelium|intestinal epithelium	ISBN:9780070316607|PMID:27441386|PMID:28287248|PMID:30608231|PMID:24120894|PMID:27501047|PMID:21282632|PMID:21664348|PMID:25558068
PLANA:0000485	gland cell	secretory gland cell	PMID:20865784|PMID:30962434|ISBN:9780070316607|PMID:29674431|PMID:23318635|PMID:28807897|PMID:24737865|PMID:19247960
PLANA:0007528	glial cell	glia|glia cell	PMID:29674431|PMID:29674432|PMID:27612382|PMID:27612384|PMID:30471994|PMID:28137894
PLANA:0000067	goblet cell		PMID:21664348|PMID:23079596|PMID:29674432|PMID:27501047|PMID:20865784|PMID:28137894|PMID:28287248|PMID:29674431
PLANA:0000217	gonad		PMID:22252538|PMID:28434803|https://doi.org/10.1101/279364|PMID:22371573|PMID:17390146|PMID:27149082|PMID:17376870|PMID:28976975|PMID:27163480|PMID:23652002|ISBN:9780070316607|PMID:16344473|PMID:22074376|PMID:20844018
PLANA:0000203	gonopore	genital pore	PMID:22899852|PMID:25278423|PMID:28072387|PMID:22074376|ISBN:9780070316607|PMID:16344473|PMID:28434803|https://doi.org/10.1101/279364|PMID:21566185|PMID:20967238|PMID:27149082|PMID:19247960
PLANA:0000070	intestinal phagocyte	enterocyte|gut enterocyte|gut phagocyte|intestinal epithelial cell	PMID:28072387|PMID:29674431|PMID:23079596|PMID:19933103|PMID:29674432|PMID:21664348|PMID:27542689
PLANA:0000461	lateral branch	bilateral cephalic ganglia branch|brain branch|cephalic brain branch|cephalic branch|lateral brain branch	PMID:21806978|PMID:20422023|PMID:21282632|ISBN:9780070316607|PMID:29674431|PMID:24922054|PMID:27612384|PMID:18287199|PMID:30399335|PMID:25254346
PLANA:0000228	male germ cell		PMID:27330085|PMID:27304889|PMID:23652002
PLANA:0000218	male primordial germ cell		PMID:17390146
PLANA:0007512	mitochondrion	mitochondria	PMID:29100657|PMID:22318224|PMID:26516985|PMID:21828097
PLANA:0000072	mouth	manus	PMID:21458439|PMID:27063937|PMID:19211673|PMID:30485821|PMID:23954785|PMID:30471994|PMID:27122174|PMID:29674431|ISBN:9780070316607|PMID:26556349|PMID:19174194|PMID:17251262|PMID:26457503|PMID:27074666|PMID:27034770|PMID:21806978|PMID:28807897|PMID:20707997|PMID:17905225|PMID:30399335|PMID:18287199|PMID:21295481
PLANA:0000560	multipolar neuron	multipolar nerve cell	ISBN:9780070316607
PLANA:0000101	muscle cell	muscle fiber|myocyte	PMID:23954785|PMID:30471994|PMID:25558068|PMID:21458439|PMID:27063937|PMID:23318641|PMID:26062938|PMID:23405188|PMID:20422023|PMID:15972844|PMID:30962434|PMID:19174194|PMID:25254346|PMID:28461239|PMID:28686611|PMID:22252539|PMID:28292427|PMID:28807897|PMID:24737865|PMID:18202849|PMID:21828097|PMID:22479207|PMID:28216315|PMID:24415944|PMID:28287248|PMID:28893948|PMID:20511647|PMID:27523733
PLANA:0000428	musculature system	muscular system|musculature	PMID:20707997|ISBN:9780070316607|PMID:24950970|PMID:17942485|PMID:28137894|PMID:15866156|PMID:27068018
PLANA:0000541	nerve	nerve bundle	PMID:27612382|PMID:27800171
PLANA:0000492	nerve plexus	neural network|neural plexus|plexus	PMID:29357350|PMID:27612382|PMID:18202849|ISBN:9780070316607|PMID:24737865
PLANA:0000025	nervous system	nerve system	PMID:22549959|PMID:20967238|PMID:19247960|PMID:27501047|PMID:23079596|PMID:27612384|PMID:23250205|PMID:27013241|PMID:27864883|PMID:24950970|ISBN:9780070316607|PMID:26556349|PMID:28292427|PMID:29557542|PMID:30399335|PMID:27163480|PMID:27523733|PMID:16311336|PMID:16033796|PMID:22445864|PMID:23297191|PMID:23903188|PMID:19211673|PMID:22696458|PMID:26062938|PMID:23318641|PMID:25254346|PMID:17251262|PMID:29357350|PMID:25725068|PMID:22339734|PMID:19048075|PMID:27551436|PMID:25278423|PMID:29674431|PMID:22427692|PMID:24173799|PMID:24173799|PMID:21806978|PMID:18202849|PMID:26114597|PMID:24737865|PMID:24131630|PMID:20223763|PMID:16033796|PMID:27068018|PMID:20707997
PLANA:0000099	neuron	differentiated neuron|nerve cell|neural cell|neuronal cell	PMID:29100657|PMID:26457503|PMID:25254346|PMID:19174194|PMID:29357350|PMID:22411224|PMID:25356635|PMID:16890156|PMID:24040508|PMID:19048075|PMID:24922054|PMID:16033796|PMID:23297191|PMID:23903188|PMID:19211673|PMID:27063937|PMID:27150006|PMID:28137894|PMID:16033796|PMID:22479207|PMID:22439894|PMID:27612382|PMID:17905225|PMID:27542689|PMID:21566185|PMID:24173799|PMID:17553481|PMID:24173799|PMID:26525673|PMID:18202849|PMID:24737865|PMID:24131630|PMID:28461239|PMID:27612384|PMID:27013241|PMID:27864883|PMID:28072387|PMID:29291974|PMID:24950970|PMID:20215344|PMID:25558068|PMID:22549959|PMID:30143032|PMID:23954785|PMID:29674432|PMID:29184198|PMID:28245923|PMID:30399335|PMID:18287199|PMID:27163480|PMID:28292427|PMID:28807897|PMID:28126842|PMID:29291981
PLANA:0000470	neuropil	central neuropil|cephalic ganglia neuropil	PMID:29291974|PMID:24950970|PMID:27612382|PMID:16033796|PMID:27612384|PMID:25356635|PMID:29291981|PMID:17553481|PMID:24173799|PMID:16033796
PLANA:0000556	neurosecretory neuron	neurosecretory cell	PMID:24173799|PMID:24173799
PLANA:0007552	nu neoblast	vNeoblast	PMID:27150006
PLANA:0000529	nucleus		PMID:29357350|PMID:28976975|PMID:29100657|PMID:25404302|PMID:26457503|PMID:23405188|ISBN:9780070316607
PLANA:0000074	oocyte	egg|female gamete|ovum	PMID:28434803|PMID:28812561|PMID:27149082|PMID:27501047|PMID:27304889|PMID:27163480|PMID:28072387|PMID:27330085|PMID:25278423
PLANA:0000075	optic cup	eye cup|photoreceptor pigment cup|photoreceptor pigmentation|pigment cup|pigmented cell cup|pigmented optic cup	PMID:28495872|PMID:21828097|PMID:27240733|PMID:27800171|PMID:27542689|PMID:22427692|PMID:22884275|PMID:20707997|PMID:27606067|PMID:27068018|PMID:15866156|PMID:25493551|PMID:26017970|PMID:21458439|PMID:29547123|PMID:30194301|PMID:30143032|PMID:22445864|PMID:22549959|ISBN:9780070316607|PMID:26618653|PMID:22411224|PMID:21852957|PMID:20865784
PLANA:0000076	oral hemisphere		PMID:28072387
PLANA:0000406	oral opening	pharyngeal mouth opening|pharynx opening	PMID:30399335|PMID:17670787|PMID:29674431
PLANA:0000431	organ		PMID:29547123
PLANA:0004507	ovarian somatic gonadal cell	somatic follicular cell of the ovary|somatic ovarian cell	PMID:27163480
PLANA:0000204	ovary	female gonad	PMID:16344473|PMID:27330085|PMID:27163480|PMID:27149082|PMID:17376870|https://doi.org/10.1101/279364|PMID:22371573|PMID:17390146|PMID:18456843|ISBN:9780070316607|PMID:22074376|PMID:28072387|PMID:25278423|PMID:20844018|PMID:23652002|PMID:25404302|PMID:19247960|PMID:20967238|PMID:28812561|PMID:28434803|PMID:22318224
PLANA:0000205	oviduct	ovovitilline duct	PMID:16344473|ISBN:9780070316607|PMID:22074376|PMID:28072387|PMID:25278423|PMID:20844018|PMID:23652002|PMID:27163480|PMID:27149082|PMID:19247960|PMID:17376870|PMID:20967238|https://doi.org/10.1101/279364
PLANA:0000420	parapharyngeal region	para-pharyngeal|parapharyngeal|peri-pharyngeal|peripharyngeal region	PMID:22125640|PMID:26651295|PMID:29674431|PMID:25956527|PMID:30143032|PMID:28807897
PLANA:0000206	penis papilla	penis|penis bulb	PMID:20967238|PMID:28434803|https://doi.org/10.1101/279364|PMID:25278423|PMID:22074376|PMID:28072387|ISBN:9780070316607|PMID:27074666|PMID:23652002
PLANA:0000080	peripheral nervous system		PMID:26017970|PMID:23903188|PMID:20967238|PMID:26884331|PMID:22339734|PMID:27150006|PMID:29674431|PMID:27612382
PLANA:0000564	peripheral nervous system neuron	peripheral neuron	PMID:29184198|PMID:23123964|PMID:23954785|PMID:26711341|PMID:25254346
PLANA:0000017	photoreceptor neuron	PRN|neuronal photoreceptive cell|optical neuron|photoreceptive neuron|photoreceptor cell|photosensitive cell|visual neuron	PMID:30485821|PMID:26017970|PMID:23318641|PMID:24063805|PMID:30471994|PMID:22445864|PMID:16033796|PMID:26618653|PMID:29674431|PMID:24922054|PMID:25254346|PMID:17251262|PMID:21852957|PMID:22339734|PMID:19048075|PMID:25356635|PMID:22411224|PMID:18202849|PMID:22427692|PMID:22884275|PMID:17553481|PMID:17905225|PMID:28216315|PMID:28137894|PMID:27068018|PMID:20967238|PMID:29547123|PMID:28245923|PMID:29674432|PMID:30143032|PMID:22549959|PMID:25772472|ISBN:9780070316607|PMID:23250205|PMID:27612384|PMID:28495872|PMID:17390146|PMID:27800171|PMID:21282632|PMID:27606067|PMID:17942485|PMID:30399335|PMID:25493551|PMID:28976975
PLANA:0007509	plasma membrane	cell membrane|cytoplasmic membrane	PMID:20511647|PMID:27523733
PLANA:0007507	posterior compartment	posterior region|posterior tail region	PMID:26556349
PLANA:0007525	posterior pole	posterior regeneration pole|tail tip	PMID:21566195|PMID:18063755|PMID:19805089|PMID:30485821|PMID:23903188|PMID:23318641|PMID:26062938|PMID:27074666|PMID:24415944|PMID:25725068
PLANA:0000084	posterior primary gut branch	major posterior gut branch|primary posterior intestinal branch	PMID:23318641|PMID:24063805
PLANA:0000029	primitive ectoderm		PMID:28072387
PLANA:0000211	primitive ectoderm cell		PMID:28072387
PLANA:0000120	progenitor cell		PMID:29674432|https://doi.org/10.1101/279364|PMID:21852957
PLANA:0000020	protonephridia	excretory organ|nephridia|osmoregulatory duct|protonephridial tubule	PMID:21937596|PMID:27068018|PMID:22479207|PMID:27150006|PMID:26057828|PMID:24523458|PMID:23318635|PMID:26711341|PMID:28292427|PMID:28807897|PMID:19852954|PMID:24737865|PMID:21828097|PMID:27612384|PMID:24992682|PMID:29100657|PMID:25254346|PMID:26457503|ISBN:9780070316607|PMID:29674431|PMID:27551436|PMID:23954785|PMID:25017721|PMID:24063805|PMID:23318641|PMID:29674432|PMID:28245923|PMID:19933103|PMID:29158443|PMID:26651295|PMID:27501047
PLANA:0000087	proximal tubule		PMID:21828097|PMID:26057828|PMID:27068018|PMID:21937596
PLANA:0000111	proximal tubule epithelial cell	proximal tubule cell	PMID:29674431
PLANA:0000088	renal system	excretory system|protonephridial system	PMID:24523458|PMID:26057828|PMID:20707997|PMID:27068018|PMID:21937596|PMID:21828097|PMID:24737865|PMID:22427692|PMID:27542689|PMID:19852954|PMID:26711341|PMID:17670787|PMID:24173799|PMID:23235145|ISBN:9780070316607|PMID:29674431|PMID:28461239|PMID:25254346|PMID:19048075|PMID:19247960|PMID:23903188|PMID:30297872|PMID:23079596
PLANA:0000237	round spermatid		PMID:20844018|PMID:27304889|PMID:29095551|https://doi.org/10.1101/279364
PLANA:0000089	secondary gut branch		PMID:28287248|PMID:27122174|PMID:30471994
PLANA:0000486	secretory pore	pore	ISBN:9780070316607
PLANA:0000462	sensory cell		PMID:17251262|PMID:17942485|ISBN:9780070316607
PLANA:0000481	serotonergic neuron	serotonergic cell	PMID:23903188|PMID:26525673|PMID:24131630|PMID:24173799|PMID:30194301|PMID:24173799|PMID:27864883|PMID:24922054|PMID:24950970|PMID:28137894|PMID:29357350|PMID:25356635
PLANA:0000009	sigma neoblast	sigma class neoblast|sigma-class neoblast	PMID:15972844|PMID:27013241|PMID:27150006|PMID:26457503|PMID:25956527|PMID:28287248|PMID:28686611|PMID:27542689|PMID:25017721|PMID:29906446|PMID:29674432|PMID:29557542|PMID:28757112|PMID:26651295
PLANA:0000024	Smed asexual biotype	asexual|asexual adult|asexual biotype	PMID:28812561
PLANA:0000027	Smed sexual biotype	hermaphroditic biotype|sexual|sexual hermaphrodite	PMID:28812561
PLANA:0000090	sperm	mature sperm	PMID:25278423|PMID:20844018|PMID:28072387|PMID:22074376|PMID:27163480|PMID:29095551|PMID:27304889|PMID:27149082|PMID:17390146|https://doi.org/10.1101/279364
PLANA:0000207	sperm duct	seminal duct|sperm ductule	https://doi.org/10.1101/279364|PMID:28434803|PMID:17390146|PMID:27149082|PMID:19247960|PMID:20967238|PMID:27304889|PMID:23652002|PMID:22074376|PMID:28072387|PMID:20844018|PMID:25278423|ISBN:9780070316607
PLANA:0000222	spermatid		PMID:22074376|PMID:27330085|PMID:20844018|PMID:25278423|PMID:27163480|PMID:25404302|PMID:27304889|PMID:17376870
PLANA:0000221	spermatocyte	primary spermatocyte	PMID:25278423|PMID:20844018|PMID:27330085|PMID:22074376|PMID:27163480|PMID:29095551|PMID:25404302|PMID:27304889|PMID:17376870
PLANA:0000220	spermatogonium	spermatogonial cell	PMID:23629965|https://doi.org/10.1101/279364
PLANA:0000007	Stage 7	hatchling|stage 7 embryo	PMID:28812561
PLANA:0000121	stem cell		PMID:22385657|PMID:19805089|PMID:17376870|PMID:27034770|PMID:24173799|PMID:26711341|PMID:20422023|https://doi.org/10.1101/279364|PMID:20707997|PMID:29124009|PMID:23318635|PMID:21937596|PMID:26062938|PMID:20422023|PMID:26651295|PMID:27501047|PMID:24063805|PMID:27013241|PMID:23123964
PLANA:0000023	temporary embryonic pharynx	embryonic pharynx	PMID:28072387|ISBN:9780070316607
PLANA:0000119	terminally differentiated cell		PMID:29674432
PLANA:0000093	tertiary gut branch	tertiary branch|tertiary intestinal branch	PMID:28287248|PMID:23250205|PMID:30194301|PMID:30471994|PMID:21664348|PMID:27122174|PMID:28137894
PLANA:0000208	testis	male gonad|testis lobe|testis lobule	PMID:18456843|https://doi.org/10.1101/279364|PMID:22371573|PMID:17376870|PMID:27149082|PMID:27163480|PMID:16344473|PMID:27330085|PMID:23629965|PMID:28812561|PMID:22318224|PMID:28434803|PMID:27304889|PMID:20967238|PMID:19247960|PMID:23652002|PMID:29095551|PMID:25404302|ISBN:9780070316607|PMID:20844018|PMID:25278423|PMID:28072387|PMID:22074376
PLANA:0004506	testis somatic gonadal cell	somatic gonadal cell of the testis|somatic niche cell of the testis|somatic testis cell	PMID:27163480
PLANA:0000095	trail cell	eye progenitor|eye progenitor cell|ovo+ eye progenitor	PMID:28072387|PMID:27606067|PMID:29674431|PMID:21852957|PMID:24040508|PMID:23250205|PMID:30485821|PMID:28245923|PMID:22884275
PLANA:0007543	TrpA+ central nervous system neuron	TrpA+ neuron	PMID:25254346
PLANA:0000230	tuba		PMID:22074376|PMID:27149082|PMID:25278423|PMID:27163480|PMID:28434803
PLANA:0000559	unipolar neuron	unipolar nerve cell	PMID:24173799|PMID:24173799|ISBN:9780070316607
PLANA:0000097	ventral nerve cord	VNC|nerve cord|ventral cord	PMID:23318635|PMID:25956527|PMID:18287199|PMID:24120894|PMID:27163480|PMID:28126842|PMID:20422023|PMID:28807897|PMID:17390146|PMID:21282632|PMID:25772472|PMID:28072387|PMID:26556349|ISBN:9780070316607|PMID:20215344|PMID:24950970|PMID:29291974|PMID:27013241|PMID:23250205|PMID:19247960|PMID:20967238|PMID:28245923|PMID:30143032|PMID:25558068|PMID:23954785|PMID:27612382|PMID:17905225|PMID:20707997|PMID:20223763|PMID:27150006|PMID:22479207|PMID:16033796|PMID:18202849|PMID:27034770|PMID:21828097|PMID:21806978|PMID:24131630|PMID:24173799|PMID:17553481|PMID:18063755|PMID:21566185|PMID:24173799|PMID:20599901|PMID:22125640|PMID:22074376|PMID:29674431|PMID:18063757|PMID:21179478|PMID:25254346|PMID:19174194|PMID:17251262|PMID:26457503|PMID:16890156|PMID:22339734|PMID:25356635|PMID:19211673|PMID:20422023|PMID:26017970|PMID:26062938|PMID:24063805|PMID:30471994|PMID:16033796|PMID:23297191
PLANA:0000013	visceral musculature	visceral muscle	PMID:30471994
PLANA:0000231	vitelline gland	vitellaria|vitellarium|yolk gland	PMID:28072387|PMID:22074376|ISBN:9780070316607|PMID:16344473|PMID:23652002|PMID:27163480|PMID:19247960|PMID:27149082|PMID:27501047|PMID:17390146|https://doi.org/10.1101/279364|PMID:28434803
PLANA:0000107	yolk cell	vitellocyte	PMID:28434803|PMID:27149082|PMID:28072387|PMID:22074376|ISBN:9780070316607|PMID:29674431
PLANA:0000014	zeta neoblast	zeta|zeta class|zeta class neoblast|zeta-class neoblast|zeta-neoblast	PMID:27013241|PMID:26457503|PMID:27150006|PMID:29674431|PMID:25956527|PMID:29906446|PMID:28292427|PMID:27542689|PMID:28807897|PMID:25017721|PMID:29557542|PMID:28757112|PMID:29674432|PMID:26651295|PMID:29158443
PLANA:0000098	zygote		PMID:28812561
