defined_class	defined_class_name	contained_in	contained_in_label
PLANA:0000009	sigma neoblast	PLANA:0004527	copulatory region
PLANA:0000009	sigma neoblast	PLANA:0000142	posterior region
PLANA:0000009	sigma neoblast	PLANA:0000140	anterior region
PLANA:0000009	sigma neoblast	PLANA:0000143	ventral region
PLANA:0000009	sigma neoblast	PLANA:0000419	prepharyngeal region
PLANA:0000009	sigma neoblast	PLANA:0000141	dorsal region
PLANA:0000009	sigma neoblast	PLANA:0000421	tail
PLANA:0000009	sigma neoblast	PLANA:0000420	parapharyngeal region
PLANA:0000014	zeta neoblast	PLANA:0000420	parapharyngeal region
PLANA:0000014	zeta neoblast	PLANA:0000141	dorsal region
PLANA:0000014	zeta neoblast	PLANA:0000419	prepharyngeal region
PLANA:0000014	zeta neoblast	PLANA:0000143	ventral region
PLANA:0000014	zeta neoblast	PLANA:0000421	tail
PLANA:0000014	zeta neoblast	PLANA:0000418	head
PLANA:0000014	zeta neoblast	PLANA:0000140	anterior region
PLANA:0000014	zeta neoblast	PLANA:0004527	copulatory region
PLANA:0000014	zeta neoblast	PLANA:0000142	posterior region
PLANA:0000016	pharynx	PLANA:0000142	posterior region
PLANA:0000016	pharynx	PLANA:0000420	parapharyngeal region
PLANA:0000017	photoreceptor neuron	PLANA:0000141	dorsal region
PLANA:0000017	photoreceptor neuron	PLANA:0000418	head
PLANA:0000017	photoreceptor neuron	PLANA:0000140	anterior region
PLANA:0000018	Category 4 cell	PLANA:0000418	head
PLANA:0000018	Category 4 cell	PLANA:0000140	anterior region
PLANA:0000018	Category 4 cell	PLANA:0004527	copulatory region
PLANA:0000018	Category 4 cell	PLANA:0000142	posterior region
PLANA:0000018	Category 4 cell	PLANA:0000420	parapharyngeal region
PLANA:0000018	Category 4 cell	PLANA:0000141	dorsal region
PLANA:0000018	Category 4 cell	PLANA:0000419	prepharyngeal region
PLANA:0000018	Category 4 cell	PLANA:0000143	ventral region
PLANA:0000018	Category 4 cell	PLANA:0000421	tail
PLANA:0000020	protonephridia	PLANA:0000141	dorsal region
PLANA:0000020	protonephridia	PLANA:0000419	prepharyngeal region
PLANA:0000020	protonephridia	PLANA:0000421	tail
PLANA:0000020	protonephridia	PLANA:0000420	parapharyngeal region
PLANA:0000020	protonephridia	PLANA:0004527	copulatory region
PLANA:0000020	protonephridia	PLANA:0000142	posterior region
PLANA:0000020	protonephridia	PLANA:0000418	head
PLANA:0000020	protonephridia	PLANA:0000140	anterior region
PLANA:0000022	Category 5 cell	PLANA:0000418	head
PLANA:0000022	Category 5 cell	PLANA:0000140	anterior region
PLANA:0000022	Category 5 cell	PLANA:0004527	copulatory region
PLANA:0000022	Category 5 cell	PLANA:0000142	posterior region
PLANA:0000022	Category 5 cell	PLANA:0000420	parapharyngeal region
PLANA:0000022	Category 5 cell	PLANA:0000141	dorsal region
PLANA:0000022	Category 5 cell	PLANA:0000419	prepharyngeal region
PLANA:0000022	Category 5 cell	PLANA:0000143	ventral region
PLANA:0000022	Category 5 cell	PLANA:0000421	tail
PLANA:0000023	embryonic pharynx	PLANA:0000076	oral hemisphere
PLANA:0000026	gut	PLANA:0000143	ventral region
PLANA:0000026	gut	PLANA:0000419	prepharyngeal region
PLANA:0000026	gut	PLANA:0000141	dorsal region
PLANA:0000026	gut	PLANA:0000421	tail
PLANA:0000026	gut	PLANA:0000420	parapharyngeal region
PLANA:0000026	gut	PLANA:0004527	copulatory region
PLANA:0000026	gut	PLANA:0000142	posterior region
PLANA:0000026	gut	PLANA:0000418	head
PLANA:0000026	gut	PLANA:0000140	anterior region
PLANA:0000028	Category 2 cell	PLANA:0000418	head
PLANA:0000028	Category 2 cell	PLANA:0000140	anterior region
PLANA:0000028	Category 2 cell	PLANA:0004527	copulatory region
PLANA:0000028	Category 2 cell	PLANA:0000142	posterior region
PLANA:0000028	Category 2 cell	PLANA:0000420	parapharyngeal region
PLANA:0000028	Category 2 cell	PLANA:0000141	dorsal region
PLANA:0000028	Category 2 cell	PLANA:0000419	prepharyngeal region
PLANA:0000028	Category 2 cell	PLANA:0000143	ventral region
PLANA:0000028	Category 2 cell	PLANA:0000421	tail
PLANA:0000029	primitive ectoderm	PLANA:0000041	aboral hemisphere
PLANA:0000029	primitive ectoderm	PLANA:0000076	oral hemisphere
PLANA:0000031	pigment cup cell	PLANA:0000141	dorsal region
PLANA:0000031	pigment cup cell	PLANA:0000140	anterior region
PLANA:0000031	pigment cup cell	PLANA:0000418	head
PLANA:0000034	epidermis	PLANA:0000421	tail
PLANA:0000034	epidermis	PLANA:0000143	ventral region
PLANA:0000034	epidermis	PLANA:0000419	prepharyngeal region
PLANA:0000034	epidermis	PLANA:0000141	dorsal region
PLANA:0000034	epidermis	PLANA:0000420	parapharyngeal region
PLANA:0000034	epidermis	PLANA:0000142	posterior region
PLANA:0000034	epidermis	PLANA:0004527	copulatory region
PLANA:0000034	epidermis	PLANA:0000140	anterior region
PLANA:0000034	epidermis	PLANA:0000418	head
PLANA:0000035	Category 3 cell	PLANA:0004527	copulatory region
PLANA:0000035	Category 3 cell	PLANA:0000142	posterior region
PLANA:0000035	Category 3 cell	PLANA:0000418	head
PLANA:0000035	Category 3 cell	PLANA:0000140	anterior region
PLANA:0000035	Category 3 cell	PLANA:0000143	ventral region
PLANA:0000035	Category 3 cell	PLANA:0000141	dorsal region
PLANA:0000035	Category 3 cell	PLANA:0000419	prepharyngeal region
PLANA:0000035	Category 3 cell	PLANA:0000421	tail
PLANA:0000035	Category 3 cell	PLANA:0000420	parapharyngeal region
PLANA:0000036	eye	PLANA:0000140	anterior region
PLANA:0000036	eye	PLANA:0000418	head
PLANA:0000036	eye	PLANA:0000141	dorsal region
PLANA:0000039	gamma neoblast	PLANA:0000140	anterior region
PLANA:0000039	gamma neoblast	PLANA:0000418	head
PLANA:0000039	gamma neoblast	PLANA:0000142	posterior region
PLANA:0000039	gamma neoblast	PLANA:0004527	copulatory region
PLANA:0000039	gamma neoblast	PLANA:0000420	parapharyngeal region
PLANA:0000039	gamma neoblast	PLANA:0000421	tail
PLANA:0000039	gamma neoblast	PLANA:0000419	prepharyngeal region
PLANA:0000039	gamma neoblast	PLANA:0000141	dorsal region
PLANA:0000039	gamma neoblast	PLANA:0000143	ventral region
PLANA:0000042	anterior primary gut branch	PLANA:0000141	dorsal region
PLANA:0000042	anterior primary gut branch	PLANA:0000419	prepharyngeal region
PLANA:0000042	anterior primary gut branch	PLANA:0000143	ventral region
PLANA:0000042	anterior primary gut branch	PLANA:0000140	anterior region
PLANA:0000042	anterior primary gut branch	PLANA:0000418	head
PLANA:0000044	cephalic ganglia	PLANA:0000418	head
PLANA:0000044	cephalic ganglia	PLANA:0000140	anterior region
PLANA:0000044	cephalic ganglia	PLANA:0000143	ventral region
PLANA:0000044	cephalic ganglia	PLANA:0000141	dorsal region
PLANA:0000045	circular muscle cell	PLANA:0000421	tail
PLANA:0000045	circular muscle cell	PLANA:0000141	dorsal region
PLANA:0000045	circular muscle cell	PLANA:0000419	prepharyngeal region
PLANA:0000045	circular muscle cell	PLANA:0000143	ventral region
PLANA:0000045	circular muscle cell	PLANA:0000420	parapharyngeal region
PLANA:0000045	circular muscle cell	PLANA:0000142	posterior region
PLANA:0000045	circular muscle cell	PLANA:0004527	copulatory region
PLANA:0000045	circular muscle cell	PLANA:0000140	anterior region
PLANA:0000045	circular muscle cell	PLANA:0000418	head
PLANA:0000046	clonogenic neoblast	PLANA:0000418	head
PLANA:0000046	clonogenic neoblast	PLANA:0000140	anterior region
PLANA:0000046	clonogenic neoblast	PLANA:0004527	copulatory region
PLANA:0000046	clonogenic neoblast	PLANA:0000142	posterior region
PLANA:0000046	clonogenic neoblast	PLANA:0000420	parapharyngeal region
PLANA:0000046	clonogenic neoblast	PLANA:0000419	prepharyngeal region
PLANA:0000046	clonogenic neoblast	PLANA:0000141	dorsal region
PLANA:0000046	clonogenic neoblast	PLANA:0000143	ventral region
PLANA:0000046	clonogenic neoblast	PLANA:0000421	tail
PLANA:0000047	collecting duct	PLANA:0004527	copulatory region
PLANA:0000047	collecting duct	PLANA:0000142	posterior region
PLANA:0000047	collecting duct	PLANA:0000418	head
PLANA:0000047	collecting duct	PLANA:0000140	anterior region
PLANA:0000047	collecting duct	PLANA:0000419	prepharyngeal region
PLANA:0000047	collecting duct	PLANA:0000141	dorsal region
PLANA:0000047	collecting duct	PLANA:0000421	tail
PLANA:0000047	collecting duct	PLANA:0000420	parapharyngeal region
PLANA:0000048	diagonal muscle cell	PLANA:0000420	parapharyngeal region
PLANA:0000048	diagonal muscle cell	PLANA:0000143	ventral region
PLANA:0000048	diagonal muscle cell	PLANA:0000419	prepharyngeal region
PLANA:0000048	diagonal muscle cell	PLANA:0000141	dorsal region
PLANA:0000048	diagonal muscle cell	PLANA:0000421	tail
PLANA:0000048	diagonal muscle cell	PLANA:0000418	head
PLANA:0000048	diagonal muscle cell	PLANA:0000140	anterior region
PLANA:0000048	diagonal muscle cell	PLANA:0004527	copulatory region
PLANA:0000048	diagonal muscle cell	PLANA:0000142	posterior region
PLANA:0000053	distal tubule	PLANA:0004527	copulatory region
PLANA:0000053	distal tubule	PLANA:0000142	posterior region
PLANA:0000053	distal tubule	PLANA:0000418	head
PLANA:0000053	distal tubule	PLANA:0000140	anterior region
PLANA:0000053	distal tubule	PLANA:0000419	prepharyngeal region
PLANA:0000053	distal tubule	PLANA:0000141	dorsal region
PLANA:0000053	distal tubule	PLANA:0000421	tail
PLANA:0000053	distal tubule	PLANA:0000420	parapharyngeal region
PLANA:0000055	dorsal stripe	PLANA:0000141	dorsal region
PLANA:0000055	dorsal stripe	PLANA:0000419	prepharyngeal region
PLANA:0000055	dorsal stripe	PLANA:0000421	tail
PLANA:0000055	dorsal stripe	PLANA:0000420	parapharyngeal region
PLANA:0000055	dorsal stripe	PLANA:0004527	copulatory region
PLANA:0000055	dorsal stripe	PLANA:0000142	posterior region
PLANA:0000055	dorsal stripe	PLANA:0000418	head
PLANA:0000055	dorsal stripe	PLANA:0000140	anterior region
PLANA:0000059	embryonic gut cell	PLANA:0000076	oral hemisphere
PLANA:0000059	embryonic gut cell	PLANA:0000041	aboral hemisphere
PLANA:0000061	enteric musculature	PLANA:0004527	copulatory region
PLANA:0000061	enteric musculature	PLANA:0000419	prepharyngeal region
PLANA:0000061	enteric musculature	PLANA:0000142	posterior region
PLANA:0000061	enteric musculature	PLANA:0000421	tail
PLANA:0000061	enteric musculature	PLANA:0000420	parapharyngeal region
PLANA:0000061	enteric musculature	PLANA:0000418	head
PLANA:0000061	enteric musculature	PLANA:0000140	anterior region
PLANA:0000062	esophagus	PLANA:0000142	posterior region
PLANA:0000062	esophagus	PLANA:0000420	parapharyngeal region
PLANA:0000064	flame bulb	PLANA:0000141	dorsal region
PLANA:0000064	flame bulb	PLANA:0004527	copulatory region
PLANA:0000064	flame bulb	PLANA:0000419	prepharyngeal region
PLANA:0000064	flame bulb	PLANA:0000142	posterior region
PLANA:0000064	flame bulb	PLANA:0000418	head
PLANA:0000064	flame bulb	PLANA:0000420	parapharyngeal region
PLANA:0000064	flame bulb	PLANA:0000140	anterior region
PLANA:0000065	flame cell	PLANA:0000419	prepharyngeal region
PLANA:0000065	flame cell	PLANA:0000141	dorsal region
PLANA:0000065	flame cell	PLANA:0000421	tail
PLANA:0000065	flame cell	PLANA:0000420	parapharyngeal region
PLANA:0000065	flame cell	PLANA:0004527	copulatory region
PLANA:0000065	flame cell	PLANA:0000142	posterior region
PLANA:0000065	flame cell	PLANA:0000418	head
PLANA:0000065	flame cell	PLANA:0000140	anterior region
PLANA:0000066	gastrodermis	PLANA:0000420	parapharyngeal region
PLANA:0000066	gastrodermis	PLANA:0000141	dorsal region
PLANA:0000066	gastrodermis	PLANA:0000419	prepharyngeal region
PLANA:0000066	gastrodermis	PLANA:0000143	ventral region
PLANA:0000066	gastrodermis	PLANA:0000421	tail
PLANA:0000066	gastrodermis	PLANA:0000418	head
PLANA:0000066	gastrodermis	PLANA:0000140	anterior region
PLANA:0000066	gastrodermis	PLANA:0004527	copulatory region
PLANA:0000066	gastrodermis	PLANA:0000142	posterior region
PLANA:0000067	goblet cell	PLANA:0000420	parapharyngeal region
PLANA:0000067	goblet cell	PLANA:0000421	tail
PLANA:0000067	goblet cell	PLANA:0000143	ventral region
PLANA:0000067	goblet cell	PLANA:0000419	prepharyngeal region
PLANA:0000067	goblet cell	PLANA:0000141	dorsal region
PLANA:0000067	goblet cell	PLANA:0000140	anterior region
PLANA:0000067	goblet cell	PLANA:0000418	head
PLANA:0000067	goblet cell	PLANA:0000142	posterior region
PLANA:0000067	goblet cell	PLANA:0004527	copulatory region
PLANA:0000068	embryonic gut cavity	PLANA:0000041	aboral hemisphere
PLANA:0000068	embryonic gut cavity	PLANA:0000076	oral hemisphere
PLANA:0000069	inner longitudinal muscle cell	PLANA:0000420	parapharyngeal region
PLANA:0000069	inner longitudinal muscle cell	PLANA:0000141	dorsal region
PLANA:0000069	inner longitudinal muscle cell	PLANA:0000419	prepharyngeal region
PLANA:0000069	inner longitudinal muscle cell	PLANA:0000143	ventral region
PLANA:0000069	inner longitudinal muscle cell	PLANA:0000421	tail
PLANA:0000069	inner longitudinal muscle cell	PLANA:0000418	head
PLANA:0000069	inner longitudinal muscle cell	PLANA:0000140	anterior region
PLANA:0000069	inner longitudinal muscle cell	PLANA:0004527	copulatory region
PLANA:0000069	inner longitudinal muscle cell	PLANA:0000142	posterior region
PLANA:0000070	intestinal phagocyte	PLANA:0000418	head
PLANA:0000070	intestinal phagocyte	PLANA:0000140	anterior region
PLANA:0000070	intestinal phagocyte	PLANA:0004527	copulatory region
PLANA:0000070	intestinal phagocyte	PLANA:0000142	posterior region
PLANA:0000070	intestinal phagocyte	PLANA:0000420	parapharyngeal region
PLANA:0000070	intestinal phagocyte	PLANA:0000141	dorsal region
PLANA:0000070	intestinal phagocyte	PLANA:0000419	prepharyngeal region
PLANA:0000070	intestinal phagocyte	PLANA:0000143	ventral region
PLANA:0000070	intestinal phagocyte	PLANA:0000421	tail
PLANA:0000072	mouth	PLANA:0000420	parapharyngeal region
PLANA:0000072	mouth	PLANA:0000142	posterior region
PLANA:0000072	mouth	PLANA:0000143	ventral region
PLANA:0000074	oocyte	PLANA:0000143	ventral region
PLANA:0000074	oocyte	PLANA:0000419	prepharyngeal region
PLANA:0000074	oocyte	PLANA:0000140	anterior region
PLANA:0000075	optic cup	PLANA:0000141	dorsal region
PLANA:0000075	optic cup	PLANA:0000418	head
PLANA:0000075	optic cup	PLANA:0000140	anterior region
PLANA:0000078	outer longitudinal muscle cell	PLANA:0000420	parapharyngeal region
PLANA:0000078	outer longitudinal muscle cell	PLANA:0000143	ventral region
PLANA:0000078	outer longitudinal muscle cell	PLANA:0000419	prepharyngeal region
PLANA:0000078	outer longitudinal muscle cell	PLANA:0000141	dorsal region
PLANA:0000078	outer longitudinal muscle cell	PLANA:0000421	tail
PLANA:0000078	outer longitudinal muscle cell	PLANA:0000418	head
PLANA:0000078	outer longitudinal muscle cell	PLANA:0000140	anterior region
PLANA:0000078	outer longitudinal muscle cell	PLANA:0004527	copulatory region
PLANA:0000078	outer longitudinal muscle cell	PLANA:0000142	posterior region
PLANA:0000079	parenchymal musculature	PLANA:0000421	tail
PLANA:0000079	parenchymal musculature	PLANA:0000141	dorsal region
PLANA:0000079	parenchymal musculature	PLANA:0000419	prepharyngeal region
PLANA:0000079	parenchymal musculature	PLANA:0000143	ventral region
PLANA:0000079	parenchymal musculature	PLANA:0000420	parapharyngeal region
PLANA:0000079	parenchymal musculature	PLANA:0000142	posterior region
PLANA:0000079	parenchymal musculature	PLANA:0004527	copulatory region
PLANA:0000079	parenchymal musculature	PLANA:0000140	anterior region
PLANA:0000079	parenchymal musculature	PLANA:0000418	head
PLANA:0000081	pharynx pouch	PLANA:0000142	posterior region
PLANA:0000081	pharynx pouch	PLANA:0000420	parapharyngeal region
PLANA:0000084	posterior primary gut branch	PLANA:0000420	parapharyngeal region
PLANA:0000084	posterior primary gut branch	PLANA:0000142	posterior region
PLANA:0000084	posterior primary gut branch	PLANA:0000421	tail
PLANA:0000084	posterior primary gut branch	PLANA:0004527	copulatory region
PLANA:0000085	primitive gut cell	PLANA:0000076	oral hemisphere
PLANA:0000087	proximal tubule	PLANA:0000419	prepharyngeal region
PLANA:0000087	proximal tubule	PLANA:0000141	dorsal region
PLANA:0000087	proximal tubule	PLANA:0000421	tail
PLANA:0000087	proximal tubule	PLANA:0000420	parapharyngeal region
PLANA:0000087	proximal tubule	PLANA:0004527	copulatory region
PLANA:0000087	proximal tubule	PLANA:0000142	posterior region
PLANA:0000087	proximal tubule	PLANA:0000418	head
PLANA:0000087	proximal tubule	PLANA:0000140	anterior region
PLANA:0000090	sperm	PLANA:0000419	prepharyngeal region
PLANA:0000090	sperm	PLANA:0000141	dorsal region
PLANA:0000090	sperm	PLANA:0004527	copulatory region
PLANA:0000090	sperm	PLANA:0000421	tail
PLANA:0000090	sperm	PLANA:0000142	posterior region
PLANA:0000090	sperm	PLANA:0000420	parapharyngeal region
PLANA:0000090	sperm	PLANA:0000140	anterior region
PLANA:0000095	trail cell	PLANA:0000141	dorsal region
PLANA:0000095	trail cell	PLANA:0000418	head
PLANA:0000095	trail cell	PLANA:0000140	anterior region
PLANA:0000097	ventral nerve cord	PLANA:0000142	posterior region
PLANA:0000097	ventral nerve cord	PLANA:0004527	copulatory region
PLANA:0000097	ventral nerve cord	PLANA:0000140	anterior region
PLANA:0000097	ventral nerve cord	PLANA:0000418	head
PLANA:0000097	ventral nerve cord	PLANA:0000421	tail
PLANA:0000097	ventral nerve cord	PLANA:0000419	prepharyngeal region
PLANA:0000097	ventral nerve cord	PLANA:0000143	ventral region
PLANA:0000097	ventral nerve cord	PLANA:0000420	parapharyngeal region
PLANA:0000107	yolk cell	PLANA:0000140	anterior region
PLANA:0000107	yolk cell	PLANA:0004527	copulatory region
PLANA:0000107	yolk cell	PLANA:0000142	posterior region
PLANA:0000107	yolk cell	PLANA:0000420	parapharyngeal region
PLANA:0000107	yolk cell	PLANA:0000143	ventral region
PLANA:0000107	yolk cell	PLANA:0000419	prepharyngeal region
PLANA:0000107	yolk cell	PLANA:0000141	dorsal region
PLANA:0000107	yolk cell	PLANA:0000421	tail
PLANA:0000111	proximal tubule epithelial cell	PLANA:0000420	parapharyngeal region
PLANA:0000111	proximal tubule epithelial cell	PLANA:0000141	dorsal region
PLANA:0000111	proximal tubule epithelial cell	PLANA:0000419	prepharyngeal region
PLANA:0000111	proximal tubule epithelial cell	PLANA:0000421	tail
PLANA:0000111	proximal tubule epithelial cell	PLANA:0000418	head
PLANA:0000111	proximal tubule epithelial cell	PLANA:0000140	anterior region
PLANA:0000111	proximal tubule epithelial cell	PLANA:0004527	copulatory region
PLANA:0000111	proximal tubule epithelial cell	PLANA:0000142	posterior region
PLANA:0000115	distal tubule epithelial cell	PLANA:0000420	parapharyngeal region
PLANA:0000115	distal tubule epithelial cell	PLANA:0000421	tail
PLANA:0000115	distal tubule epithelial cell	PLANA:0000141	dorsal region
PLANA:0000115	distal tubule epithelial cell	PLANA:0000419	prepharyngeal region
PLANA:0000115	distal tubule epithelial cell	PLANA:0000140	anterior region
PLANA:0000115	distal tubule epithelial cell	PLANA:0000418	head
PLANA:0000115	distal tubule epithelial cell	PLANA:0000142	posterior region
PLANA:0000115	distal tubule epithelial cell	PLANA:0004527	copulatory region
PLANA:0000118	collecting duct epithelial cell	PLANA:0000142	posterior region
PLANA:0000118	collecting duct epithelial cell	PLANA:0004527	copulatory region
PLANA:0000118	collecting duct epithelial cell	PLANA:0000140	anterior region
PLANA:0000118	collecting duct epithelial cell	PLANA:0000418	head
PLANA:0000118	collecting duct epithelial cell	PLANA:0000421	tail
PLANA:0000118	collecting duct epithelial cell	PLANA:0000419	prepharyngeal region
PLANA:0000118	collecting duct epithelial cell	PLANA:0000141	dorsal region
PLANA:0000118	collecting duct epithelial cell	PLANA:0000420	parapharyngeal region
PLANA:0000127	oviduct epithelial cell	PLANA:0000142	posterior region
PLANA:0000127	oviduct epithelial cell	PLANA:0000143	ventral region
PLANA:0000127	oviduct epithelial cell	PLANA:0000419	prepharyngeal region
PLANA:0000127	oviduct epithelial cell	PLANA:0004527	copulatory region
PLANA:0000127	oviduct epithelial cell	PLANA:0000140	anterior region
PLANA:0000127	oviduct epithelial cell	PLANA:0000420	parapharyngeal region
PLANA:0000128	sperm duct epithelial cell	PLANA:0000420	parapharyngeal region
PLANA:0000128	sperm duct epithelial cell	PLANA:0000140	anterior region
PLANA:0000128	sperm duct epithelial cell	PLANA:0004527	copulatory region
PLANA:0000128	sperm duct epithelial cell	PLANA:0000419	prepharyngeal region
PLANA:0000128	sperm duct epithelial cell	PLANA:0000141	dorsal region
PLANA:0000128	sperm duct epithelial cell	PLANA:0000142	posterior regionl
PLANA:0000128	sperm duct epithelial cell	PLANA:0000421	tail
PLANA:0000130	circular muscle progenitor cell	PLANA:0000418	head
PLANA:0000130	circular muscle progenitor cell	PLANA:0000140	anterior region
PLANA:0000130	circular muscle progenitor cell	PLANA:0004527	copulatory region
PLANA:0000130	circular muscle progenitor cell	PLANA:0000142	posterior region
PLANA:0000130	circular muscle progenitor cell	PLANA:0000420	parapharyngeal region
PLANA:0000130	circular muscle progenitor cell	PLANA:0000141	dorsal region
PLANA:0000130	circular muscle progenitor cell	PLANA:0000419	prepharyngeal region
PLANA:0000130	circular muscle progenitor cell	PLANA:0000143	ventral region
PLANA:0000130	circular muscle progenitor cell	PLANA:0000421	tail
PLANA:0000134	longitudinal muscle progenitor cell	PLANA:0000418	head
PLANA:0000134	longitudinal muscle progenitor cell	PLANA:0000140	anterior region
PLANA:0000134	longitudinal muscle progenitor cell	PLANA:0004527	copulatory region
PLANA:0000134	longitudinal muscle progenitor cell	PLANA:0000142	posterior region
PLANA:0000134	longitudinal muscle progenitor cell	PLANA:0000420	parapharyngeal region
PLANA:0000134	longitudinal muscle progenitor cell	PLANA:0000141	dorsal region
PLANA:0000134	longitudinal muscle progenitor cell	PLANA:0000419	prepharyngeal region
PLANA:0000134	longitudinal muscle progenitor cell	PLANA:0000143	ventral region
PLANA:0000134	longitudinal muscle progenitor cell	PLANA:0000421	tail
PLANA:0000135	female primordial germ cell	PLANA:0000419	prepharyngeal region
PLANA:0000135	female primordial germ cell	PLANA:0000143	ventral region
PLANA:0000135	female primordial germ cell	PLANA:0000418	head
PLANA:0000135	female primordial germ cell	PLANA:0000140	anterior region
PLANA:0000201	bursal canal	PLANA:0000142	posterior region
PLANA:0000201	bursal canal	PLANA:0004527	copulatory region
PLANA:0000201	bursal canal	PLANA:0000143	ventral region
PLANA:0000203	gonopore	PLANA:0000142	posterior region
PLANA:0000203	gonopore	PLANA:0000143	ventral region
PLANA:0000203	gonopore	PLANA:0004527	copulatory region
PLANA:0000204	ovary	PLANA:0000140	anterior region
PLANA:0000204	ovary	PLANA:0000143	ventral region
PLANA:0000204	ovary	PLANA:0000419	prepharyngeal region
PLANA:0000205	oviduct	PLANA:0000140	anterior region
PLANA:0000205	oviduct	PLANA:0000420	parapharyngeal region
PLANA:0000205	oviduct	PLANA:0000142	posterior region
PLANA:0000205	oviduct	PLANA:0000143	ventral region
PLANA:0000205	oviduct	PLANA:0004527	copulatory region
PLANA:0000205	oviduct	PLANA:0000419	prepharyngeal region
PLANA:0000206	penis papilla	PLANA:0000142	posterior region
PLANA:0000206	penis papilla	PLANA:0000143	ventral region
PLANA:0000206	penis papilla	PLANA:0004527	copulatory region
PLANA:0000207	sperm duct	PLANA:0000420	parapharyngeal region
PLANA:0000207	sperm duct	PLANA:0004527	copulatory region
PLANA:0000207	sperm duct	PLANA:0000419	prepharyngeal region
PLANA:0000207	sperm duct	PLANA:0000421	tail
PLANA:0000208	testis	PLANA:0000420	parapharyngeal region
PLANA:0000208	testis	PLANA:0000140	anterior region
PLANA:0000208	testis	PLANA:0000419	prepharyngeal region
PLANA:0000208	testis	PLANA:0004527	copulatory region
PLANA:0000208	testis	PLANA:0000141	dorsal region
PLANA:0000208	testis	PLANA:0000142	posterior region
PLANA:0000208	testis	PLANA:0000421	tail
PLANA:0000211	primitive ectoderm cell	PLANA:0000041	aboral hemisphere
PLANA:0000211	primitive ectoderm cell	PLANA:0000076	oral hemisphere
PLANA:0000218	male primordial germ cell	PLANA:0000140	anterior region
PLANA:0000218	male primordial germ cell	PLANA:0000420	parapharyngeal region
PLANA:0000218	male primordial germ cell	PLANA:0000421	tail
PLANA:0000218	male primordial germ cell	PLANA:0000142	posterior region
PLANA:0000218	male primordial germ cell	PLANA:0004527	copulatory region
PLANA:0000218	male primordial germ cell	PLANA:0000141	dorsal region
PLANA:0000218	male primordial germ cell	PLANA:0000419	prepharyngeal region
PLANA:0000219	spermatogonial stem cell	PLANA:0000421	tail
PLANA:0000219	spermatogonial stem cell	PLANA:0000142	posterior region
PLANA:0000219	spermatogonial stem cell	PLANA:0004527	copulatory region
PLANA:0000219	spermatogonial stem cell	PLANA:0000141	dorsal region
PLANA:0000219	spermatogonial stem cell	PLANA:0000419	prepharyngeal region
PLANA:0000219	spermatogonial stem cell	PLANA:0000140	anterior region
PLANA:0000219	spermatogonial stem cell	PLANA:0000420	parapharyngeal region
PLANA:0000220	spermatogonium	PLANA:0000142	posterior region
PLANA:0000220	spermatogonium	PLANA:0000421	tail
PLANA:0000220	spermatogonium	PLANA:0000141	dorsal region
PLANA:0000220	spermatogonium	PLANA:0004527	copulatory region
PLANA:0000220	spermatogonium	PLANA:0000419	prepharyngeal region
PLANA:0000220	spermatogonium	PLANA:0000140	anterior region
PLANA:0000220	spermatogonium	PLANA:0000420	parapharyngeal region
PLANA:0000221	spermatocyte	PLANA:0000421	tail
PLANA:0000221	spermatocyte	PLANA:0000142	posterior region
PLANA:0000221	spermatocyte	PLANA:0004527	copulatory region
