PLANA_ID	OLD_NAME	defined_class	defined_class_name	edit_entity	edit_entity_label	defined_class_definition	def_dbxref	dbxref	exact_syn	depicted_by	image_comment
PLANA:0000065	flame cell	PLANA:0000065	flame cell	PLANA:0000065	flame cell	Terminal structure of the protonephridia unit, capping the proximal tubules. Flame cells are defined by the ‘filtration weir’, or filtration diaphragm, which consists of closely apposed strands of cytoplasm surrounding a central cilia bundle, and by numerous microvilli between weir and cilia. Positive for acetyated tubulin. 	PMID:21828097|PMID:26057828|OCLC:16809160	PMID:21828097|PMID:24523458|PMID:27068018|PMID:19247960|PMID:17670787|PMID:26057828|PMID:29674432|PMID:21937596|PMID:27542689|ISBN:9780070316607|PMID:26711341|PMID:19852954|PMID:29674431			
PLANA:0000079	parenchymal musculature	PLANA:0000079	parenchymal musculature	PLANA:0000079	parenchymal musculature	Muscles that are present through the mesenchyme, inclusing dorsal-ventral muscles, intestinal muscles and pharynx muscles. 	OCLC:16809160	ISBN:9780070316607 | PMID:30962434	parenchymal muscle		
PLANA:0000085	primitive gut cell 	PLANA:0000085	primitive gut cell 	PLANA:0000085	primitive gut cell 	A phagocytic cell closely associated with the temporary embryonic pharynx.	PMID:28072387	PMID:28072387			
PLANA:0000115	distal tubule epithelial cell	PLANA:0000115	distal tubule epithelial cell	PLANA:0000115	distal tubule epithelial cell	Nonciliated epithelial cells that assemble into protonephridial distal tubules.	PMID:21828097	PMID:29674431	distal tubule cell		
PLANA:0000201	bursal canal	PLANA:0000201	bursal canal	PLANA:0000201	bursal canal	The passageway connecting the genital atrium to the copulatory bursa. Part of the copulatory apparatus. During mating, sperm from a partner is deposited into the bursal canal, where it collects in the copulatory bursa before travelling up the oviducts to the tuba.  	PMID:22074376	PMID:27149082|PMID:22074376|ISBN:9780070316607|PMID:25278423|PMID:20967238			
PLANA:0000224	cement gland	PLANA:0000224	cement gland	PLANA:0000224	cement gland	Glands surrounding the genital atrium that are required for production of the proteinaceous egg capsule shell and stalk.	ASIN:B000M4NK9M|PMID:18942102|PMID:22074376|PMID:27149082	PMID:20967238|PMID:23652002|PMID:25278423|PMID:27149082|ISBN: 9780070316607	shell gland		
PLANA:0000233	copulatory bursa	PLANA:0000233	copulatory bursa	PLANA:0000233	copulatory bursa	An organ that receives and stores sperm from mating partners. 	PMID:22074376	PMID:20967238|PMID:25278423|PMID:22074376|https://doi.org/10.1101/279364|ISBN: 9780070316607	male antrum		
PLANA:0000419	prepharyngeal region	PLANA:0000419	prepharyngeal region	PLANA:0000419	prepharyngeal region	Region of the juvenile or adult animal between the posterior end of the cephalic ganglia and the anterior end of the definitive pharynx.		PMID:21295481|PMID:29547123|PMID:27150006|PMID:17251262|https://doi.org/10.1101/279364|PMID:28287248|PMID:27063937|PMID:26556349|PMID:24120894|PMID:28216315|PMID:22339734|PMID:29674431|PMID:23318641|PMID:18202849|PMID:21852957|PMID:24922054|PMID:28893948|PMID:28245923|PMID:18287199	neck | pre-pharyngeal region|pre-pharynx region		
PLANA:0004503	sexually mature adult 	PLANA:0004503	adult hermaphrodite	PLANA:0004503	adult hermaphrodite	A fully formed, sexually mature organism. The sexually reproducing Schmidtea mediterranea biotype exists as an obligate cross-fertilizing hermaphrodite.	PMID:19022767|PMID:11972158		sexual adult | sexually mature adult		
PLANA:0000136	whole organism	PLANA:0000136	whole organism	PLANA:0000136	whole organism	Anatomical structure that is an individual member of of Schmidtea mediterranea or any other flatworm of the class Turbellaria.		PMID:17251262|PMID:26711341|PMID:27502555|PMID:29906446|PMID:28976975	whole worm | WW | intact animal | intact planarian | whole animal		
PLANA:0000008	Stage 8	PLANA:0000008	Stage 8	PLANA:0000008	Stage 8	D13-D15. Organogenesis and organ maturation continues. Hatching. Days 13-15 post-egg capsule deposition at 20˚C.	PMID:28072387		hatchling		
PLANA:0000031	pigment cup cell	PLANA:0000031	pigment cup cell	PLANA:0000031	pigment cup cell	Non-neuronal, pigmented cells arrayed along the proximal side of the optic cup.	PMID:21852957|PMID:22884275	PMID:23318641|PMID:22445864|PMID:30471994|PMID:21852957|PMID:17553481|PMID:29674432|PMID:28976975|PMID:28245923|PMID:25254346|PMID:21458439|PMID:20967238|PMID:28495872|PMID:26017970|PMID:27551436|PMID:17390146|PMID:27122174|PMID:25493551|PMID:28137894|PMID:29158443|PMID:23250205|PMID:21282632|PMID:17251262|PMID:27606067|PMID:28287248|PMID:24063805|PMID:17905225|PMID:22339734|PMID:29674431	optic cup cell | melanin pigment cell | eye pigment cell | eye pigment cell|eye pigment cup cell|eye pigment producing cell|eye pigmented cell|melanin pigment cell|optic cup cell|photoceptor pigmented cell|pigment cell		
PLANA:0000092	syncytial yolk cell	PLANA:0000092	yolk syncytium	PLANA:0000092	yolk syncytium	Fused yolk cells surrounding blastomeres undergoing dispersed cleavage during Stages 1 and 2.	PMID:15599763		syncytial yolk cell		
PLANA:0000459	optic chiasma	PLANA:0000459	optic chiasm	PLANA:0000459	optic chiasm	A decussation of the diencephalon where the fibers of the optic nerve cross	PMID:18466009	PMID:17905225|PMID:19211673|PMID:21282632|PMID:16033796|PMID:27800171|PMID:26618653|PMID:30194301|PMID:22339734|PMID:18202849|PMID:30962434|PMID:25356635|PMID:22445864|PMID:16033796|PMID:17553481 | PMID:18202849|PMID:25493551|PMID:16033796|PMID:28495872|PMID:19048075|PMID:15866156 	optic chiasma | chiasm | optic chiasma | optic chiasmata		
PLANA:0000016	definitive pharynx	PLANA:0000016	pharynx	PLANA:0000016	pharynx	A plicate and protrusible organ that is the sole point of entry and exit for the Triclad gut. It contains epithelial, muscular, secretory and neuronal cell types.	OCLC:16809160	PMID:21282632|PMID:16033796|PMID:21894189|PMID:27150006|PMID:21356107|PMID:17905225|PMID:30194301|PMID:22339734|PMID:24120894|PMID:26459857|PMID:21664348|PMID:30729158|PMID:24238224|PMID:16311336|PMID:20599901|PMID:22439894|PMID:20223763|PMID:22451003|PMID:30399335|PMID:27034770|PMID:17670787|PMID:19048075|PMID:19933103|PMID:27501047|PMID:23954785|PMID:19211673|PMID:22125640|PMID:25956527|PMID:23318635|PMID:29291981|PMID:24173799|PMID:28245923|PMID:25017721|PMID:25254346|PMID:28171748|PMID:21458439|PMID:18063755|PMID:19852954|PMID:22371573|PMID:17376870|PMID:26062938|PMID:21295483|PMID:24737865|PMID:20511647|PMID:20422023|PMID:18063757|PMID:28287248|PMID:27063937|PMID:26114597|PMID:28434803|PMID:20865784|PMID:17390146|PMID:27122174|PMID:28461239|PMID:23250205|PMID:16890156|PMID:21747960|PMID:24704339|PMID:23629965|PMID:28292427|ISBN: 9780070316607|PMID:26525673|PMID:28893948|PMID:24922054|PMID:20967238|PMID:28495872|PMID:18287199|PMID:18456843|PMID:23297191|PMID:30471994|PMID:23652002|PMID:21852957|PMID:23405188|PMID:21179478|PMID:24063805|https://doi.org/10.1101/279364|PMID:27441386|PMID:30485821|PMID:29674431|PMID:25558068|PMID:22385657|PMID:27551436|PMID:30237141|PMID:28072387|PMID:20422023|PMID:19247960|PMID:20215344|PMID:26457503|PMID:24040508|PMID:17942485|PMID:27163480|PMID:25725068|PMID:27654173|PMID:28126842|PMID:25356635|PMID:22884275|PMID:27612384|PMID:19766622|PMID:18202849|PMID:21937596|PMID:15866156|PMID:27612382|PMID:21806978|PMID:17251262|PMID:27074666|PMID:30383829|PMID:19174194|PMID:22411224|PMID:28686611|PMID:24131630|PMID:28807897|PMID:20707997|PMID:30282036|PMID:26711341|PMID:29906446|PMID:23079596|PMID:27240733|PMID:18786419|PMID:21828097|PMID:22543868|PMID:23123964|PMID:30962434	definitive pharynx		
PLANA:0000465	pharynx nerve plexus 	PLANA:0000465	pharynx nerve plexus 	PLANA:0000465	pharynx nerve plexus 	Plexus of nerves located in the definitive pharynx comprised of inner and outer wall rings.		PMID:16033796|PMID:20967238|PMID:23250205|PMID:23297191|PMID:17905225	nerve ganglia of pharynx | neural plexus of the pharynx|pharyngeal nerve plexus|pharyngeal nerve ring|pharyngeal nervous system|pharyngeal neural plexus|pharynx nerve ring		
PLANA:0000479	inner pharynx nerve plexus 	PLANA:0000479	inner pharynx nerve plexus 	PLANA:0000479	inner pharynx nerve plexus 	Ring of the pharynx nerve plexus that is proximal to the lumen.		ISBN:9780070316607	inner pharyngeal nerve ring|inner pharynx nerve ring		
PLANA:0000480	outer pharynx nerve plexus 	PLANA:0000480	outer pharynx nerve plexus 	PLANA:0000480	outer pharynx nerve plexus 	Ring of the pharynx nerve plexus that is proximal to the exterior surface.	doi:10.1002/jmor.1051550208|PMID:27612384		outer pharynx nerve ring | outer pharyngeal nerve ring		
PLANA:0004528	pharyngeal epithelium	PLANA:0004528	pharynx epithelium	PLANA:0004528	pharynx epithelium	Epithelia associated with the pharynx organ.			pharyngeal epithelium | pharnyx epidermis | pharyngeal epidermis		
PLANA:0000472	outer pharyngeal epithelium	PLANA:0000472	outer pharynx epithelium	PLANA:0000472	outer pharynx epithelium	Heavily ciliated epidermal cells covering the outer surface of the pharynx shaft. These are "insunk" epidermal cells in which the nuclei reside behind the layers of longitudinal and circumferential muscles and the epithelial cell body sends out a ciliated projection to the surface to cover and encase the shaft.	ASIN:B000M4NK9M	PMID:29674431	epithelial pharynx lining | outer pharynx epidermis | outer pharyngeal epithelium | outer pharynx epidermis | outer pharyngeal epidermis		
PLANA:0007534	inner pharyngeal epithelium	PLANA:0007534	inner pharynx epithelium	PLANA:0007534	inner pharynx epithelium	Heavily ciliated epidermal cells covering the inner surface of the pharynx shaft.	doi:10.1002/jmor.1051550208|OCLC:16809160	PMID:24120894	epithelial pharynx lining|epithelium lining the lumen of the pharynx|inner epithelium|inner pharynx epidermis | inner pharyngeal epithelium | inner pharyngeal epidermis | inner pharynx epidermis		
PLANA:0000412	pharynx lumen epithelial surface	PLANA:0000412	pharynx inner epithelium surface	PLANA:0000412	pharynx inner epithelium surface	The epithelial surface lining the interior of the pharynx, facing the lumen.	UBERON:0001731		pharynx lumen epithelial surface | pharynx inner epidermis surface | pharyngeal inner epithelial surface | pharyngeal lumen epithelial surface | pharyngeal inner epidermis surface 		
PLANA:0000413	pharynx outer epithelial surface	PLANA:0000413	pharynx outer epithelium surface	PLANA:0000413	pharynx outer epithelium surface	Epithelial surface covering the outside of the pharynx.	doi:10.1002/jmor.1052060308|PMID:29865769	PMID:24120894	pharynx outer side | pharynx outer epidermis surface | pharyngeal outer epithelial surface | pharyngeal outer epidermis surface		
PLANA:0000081	pharyngeal pouch	PLANA:0000081	pharynx pouch	PLANA:0000081	pharynx pouch	An epithelial structure housing the definitive pharynx, connected to the esophagus and mouth.	OCLC:16809160		pharyngeal pouch		
PLANA:0000414	pharyngeal pouch surface	PLANA:0000414	pharynx pouch surface	PLANA:0000414	pharynx pouch surface	The surface of the parapharyngeal pouch facing the pharynx.	OCLC:16809160		pharyngeal pouch surface		
PLANA:0000407	pharyngeal pouch cavity	PLANA:0000407	pharynx pouch cavity	PLANA:0000407	pharynx pouch cavity	Anatomical space between the definitive pharynx and the epithelial cells comprising parapharyngeal pouch.	OCLC:16809160		pharyngeal pouch cavity | pharnygeal cavity		
PLANA:0000478	musculature of pharynx 	PLANA:0000478	pharynx musculature	PLANA:0000478	pharynx musculature	The total musculature within the pharynx.	PMID:26904543	PMID:29674432|SBN:9780070316607	pharyngeal musculature | pharynx muscle | pharynx musculature		
PLANA:0000241	pharyngeal longitudinal muscle fiber	PLANA:0000241	pharynx longitudinal muscle cell 	PLANA:0000241	pharynx longitudinal muscle cell 	Pharynx muscle fibers running anteroposterior (proximal to distal).	ASIN:B000M4NK9M		pharynx longitudinal muscle fiber | pharyngeal longitudinal muscle fiber | pharyngeal longitudinal muscle cell 		
PLANA:0000475	inner pharyngeal longitudinal muscle fiber 	PLANA:0000475	pharynx inner longitudinal muscle cell	PLANA:0000475	pharynx inner longitudinal muscle cell	Pharynx muscle fibers running anteroposterior which lie beneath both the inner circular muscle fibers and the apical, ciliated portion of the epithium lining the lumenal surface.	ASIN:B000M4NK9M	ISBN:9780070316607	inner longitudinal muscle layer | pharynx inner longitudinal muscle fiber | pharyngeal inner longitudinal muscle cell | pharyngeal inner longitudinal muscle fiber		
PLANA:0000476	outer pharyngeal longitudinal muscle fiber 	PLANA:0000476	pharynx outer longitudinal muscle cell	PLANA:0000476	pharynx outer longitudinal muscle cell	Pharynx muscle fibers running anteroposterior which lie just underneath the apical, cilaited portion of the outer epithelium.	ASIN:B000M4NK9M		pharynx outer longitudinal muscle fiber | pharyngeal outer longitudinal muscle fiber | pharyngeal outer longitudinal muscle cell		
PLANA:0007535	pharyngeal circular muscle fiber	PLANA:0007535	pharynx circular muscle cell 	PLANA:0007535	pharynx circular muscle cell 	Pharynx muscle fibers running parallel to the diameter of the pharynx.	ASIN:B000M4NK9M		pharynx circular muscle cell | pharynx circular muscle fiber | pharyngeal circular muscle cell		
PLANA:0000474	inner pharyngeal circular muscle fiber 	PLANA:0000474	pharynx inner circular muscle cell	PLANA:0000474	pharynx inner circular muscle cell	Pharynx muscle fiber that runs circumferentially about the pharynx and lies just beneath the inner logitudinal pharynx muscle fibers.	ASIN:B000M4NK9M		inner circular muscle layer | pharynx inner circular muscle fiber | pharyngeal inner circular muscle cell | pharyngeal inner circular muscle fiber		
PLANA:0000473	outer pharyngeal circular muscle fiber 	PLANA:0000473	pharynx outer circular muscle cell	PLANA:0000473	pharynx outer circular muscle cell	Pharynx muscle fibers thar run circumferentially about the pharynx and lie just beneath the outer longitudinal pharynx muscles.	ASIN:B000M4NK9M	ISBN:9780070316607	outer circular muscle layer | pharynx outer circular muscle fiber | pharyngeal outer circular muscle cell | pharyneal outer circular muscle fiber		
PLANA:0000477	pharyngeal radial muscle fiber	PLANA:0000477	pharynx radial muscle cell	PLANA:0000477	pharynx radial muscle cell	Pharynx muscle fibers that run radially, connecting the outer muscle fibers and epithelia with their inner counterparts.	ASIN:B000M4NK9M	PMID:28072387	pharynx radial muscle fiber | pharyngeal radial muscle cell | pharyngeal radial muscle fiber | radial muscle fiber  | radial muscle cell		
PLANA:0004524	temporary embryonic pharynx circular muscle fiber	PLANA:0004524	temporary embryonic pharynx circular muscle cell	PLANA:0004524	temporary embryonic pharynx circular muscle cell	Differentiated muscle cell present in a circular muscle fiber of the temporary embryonic pharynx.	PMID:16932928		temporary embryonic pharynx circular muscle fiber		
PLANA:0004520	temporary embryonic pharynx radial muscle cell	PLANA:0004520	temporary embryonic pharynx radial muscle cell	PLANA:0004520	temporary embryonic pharynx radial muscle cell	Differentiated radial muscle cell present in the temporary embryonic pharynx.	PMID:16932928		temporary embryonic pharynx radial muscle fiber		
PLANA:0000045	circular muscle fiber	PLANA:0000045	circular muscle cell	PLANA:0000045	circular muscle cell	Body wall muscle fibers arrayed around the dorsoventral axis. Upon regeneration, these are thought to be produced de novo in the blastema.	https://github.com/obophenotype/planaria-ontology/blob/master/metadata/planarefs/planaref-0000005.md|PMID:26904543		circular muscle fiber		
PLANA:0000048	diagonal muscle fiber	PLANA:0000048	diagonal muscle cell	PLANA:0000048	diagonal muscle cell	Body wall muscle fibers arrayed diagonally along the anteroposterior axis.	PMID:26904543	PMID:23903188|PMID:30471994|ISBN:9780070316607|PMID:28461239|PMID:28807897|PMID:27068018	diagonal fiber|diagonal muscle|diagonal muscle fiber		
PLANA:0000071	longitudinal muscle fiber	PLANA:0000071	longitudinal muscle cell	PLANA:0000071	longitudinal muscle cell	Body wall muscle fibers arrayed along the anteroposterior axis. Upon regeneration, these muscles are thought to be established from truncated pre-existing fibers.Inner most body wall muscle fibers arrayed along the anteroposterior axis. These fibers are thicker than the outer longitudinal muscle fibers. The pattern of these muscles differs along the dorsoventral axis, with the dorsal arrangement converging at the central zone of the anterior pole. The ventral arrangement is more parallel or may diverge slightly as it approaches the ventral pole.	https://github.com/obophenotype/planaria-ontology/blob/master/metadata/planarefs/planaref-0000005.md|PMID:26904543	PMID:28807897|PMID:27551436|PMID:30471994|ISBN:9780070316607|PMID:28461239|PMID:23903188	BW longitudinal fiber|body wall longitudinal fiber|longitudinal fiber|longitudinal muscle|longitudinal muscle cell|longitudinal muscle fiber		
PLANA:0000069	inner longitudinal muscle fiber	PLANA:0000069	inner longitudinal muscle cell	PLANA:0000069	inner longitudinal muscle cell	Inner most body wall muscle fibers arrayed along the anteroposterior axis. These fibers are thicker than the outer longitudinal muscle fibers. The pattern of these muscles differs along the dorsoventral axis, with the dorsal arrangement converging at the central zone of the anterior pole. The ventral arrangement is more parallel or may diverge slightly as it approaches the ventral pole.	https://github.com/obophenotype/planaria-ontology/blob/master/metadata/planarefs/planaref-0000003.md|PMID:26904543	PMID:30962434|ISBN:9780070316607	inner longitudinal muscle fiber | inner longitudinal muscle layer		
PLANA:0000078	outer longitudinal muscle fiber	PLANA:0000078	outer longitudinal muscle cell	PLANA:0000078	outer longitudinal muscle cell	Body wall muscle fibers arrayed along the anteroposterior axis. Upon regeneration, these muscles are thought to be established from truncated pre-existing fibers.	https://github.com/obophenotype/planaria-ontology/blob/master/metadata/planarefs/planaref-0000005.md|PMID:26904543	ISBN:9780070316607	outer longitudinal muscle layer		
PLANA:0007554	parenchymal compartment	PLANA:0007554	parenchyma	PLANA:0007554	parenchyma	An anatomical compartment of the deep-superficial axis between the gastrodermal nerve plexus and submuscular nerve plexus.		PMID:27441386|PMID:25558068|PMID:22318224|PMID:23405188|PMID:27606067|PMID:24173799|PMID:24063805|PMID:28137894|PMID:28072387|PMID:19247960|PMID:22385657|PMID:27551436|PMID:26457503|PMID:27163480|PMID:20215344|PMID:29557542|PMID:26884331|PMID:28976975|PMID:21937596|PMID:29357350|PMID:15866156|PMID:21806978|PMID:27612382|PMID:18202849|PMID:27612384|PMID:20040488|PMID:22411224|PMID:19174194|PMID:30143032|PMID:28807897|PMID:18786419|PMID:26711341|PMID:29100657|PMID:27864883|PMID:21828097|PMID:30962434|PMID:30194301|PMID:24120894|PMID:24238224|PMID:21664348|PMID:16311336|PMID:17905225|PMID:21356107|PMID:17670787|PMID:19048075|PMID:20223763|PMID:22439894|PMID:25017721|PMID:21458439|PMID:24950970|PMID:23235145|PMID:24367277|PMID:17376870|PMID:19211673|PMID:25956527|PMID:23318635|PMID:24173799|PMID:29674432|PMID:17553481|PMID:22252539|PMID:22445864|PMID:20865784|PMID:24737865|PMID:20422023|PMID:28287248|PMID:26114597|PMID:24704339|PMID:16890156|PMID:23629965|PMID:27122174|PMID:17390146|PMID:28461239|PMID:28292427|ISBN: 9780070316607|PMID:21852957	parenchymal compartment | mesenchyme		
PLANA:0000487	acidophilic gland cell	PLANA:0000487	acidophilic gland cell	PLANA:0000487	acidophilic gland cell	One of two distinct histochemical classes of gland cells, these can be found throughout the body but primarily form clusters of subepidermal marginal adhesive glands along the dorsalventral border of the animal.	PMID:20865784	PMID:20865784	eosinophilic gland cell | erythrophilous gland cell 		
PLANA:0000429	neoblast compartment 	PLANA:0000429	neoblast	PLANA:0000429	neoblast	A heterogeneous population of pluripotent, somatic adult stem cells and lineage primed progenitors that are required for maintenance and regeneration of all cell types in planaria, including the germline.	https://github.com/obophenotype/planaria-ontology/blob/master/metadata/planarefs/planaref-0000004.md|PMID:16311336|PMID:21566185|PMID:22899852	PMID:23629965|PMID:16890156|PMID:23250205|PMID:17390146|PMID:21852957|PMID:30471994|PMID:23297191|PMID:18456843|PMID:18287199|PMID:28292427|PMID:19805089|PMID:19048075|PMID:26057828|PMID:22439894|PMID:22899852|PMID:20599901|PMID:29291974|PMID:24238224|PMID:21664348|PMID:24120894|PMID:22479207|PMID:22339734|PMID:27304889|PMID:17905225|PMID:21356107|PMID:21894189|PMID:27502555|PMID:21282632|PMID:17553481|PMID:22445864|PMID:23318641|PMID:23235145|PMID:25254346|PMID:24173799|PMID:25956527|PMID:27149082|PMID:23954785|PMID:30282036|PMID:30297872|PMID:22252538|PMID:24131630|PMID:22411224|PMID:19174194|PMID:20040488|PMID:28216315|PMID:26651295|PMID:30962434|PMID:22543868|PMID:27068018|PMID:29095551|PMID:18786419|PMID:29906446|PMID:23079596|PMID:19247960|PMID:25278423|PMID:28137894|PMID:29674431|PMID:30485821|PMID:22223737|PMID:26556349|https://doi.org/10.1101/279364|PMID:29547123|PMID:23405188|PMID:28757112|PMID:27542689|PMID:18202849|PMID:27612384|PMID:19766622|PMID:25356635|PMID:22884275|PMID:27654173|PMID:23903188|PMID:27163480|PMID:26457503|PMID:27013241|PMID:26884331|PMID:20215344|PMID:22696458|PMID:29557542|PMID:21747960|PMID:24704339|PMID:28461239|PMID:27122174|PMID:22549959|PMID:26114597|PMID:27063937|PMID:28287248|PMID:24737865|PMID:15972844|PMID:24992682|PMID:21179477|PMID:24922054|PMID:28893948|PMID:26525673|PMID:27501047|PMID:17670787|PMID:24415944|PMID:22451003|PMID:20223763|PMID:30729158|PMID:16311336|PMID:26459857|PMID:30194301|PMID:27150006|PMID:16033796|PMID:29674432|PMID:27523733|PMID:22252539|PMID:24367277|PMID:22371573|PMID:17376870|PMID:18063755|PMID:21458439|PMID:28171748|PMID:25017721|PMID:24903754|PMID:23318635|PMID:22125640|PMID:30143032|PMID:29124009|PMID:28686611|PMID:26618653|PMID:16344473|PMID:17251262|PMID:29364871|PMID:29100657|PMID:27864883|PMID:24523458|PMID:20844018|PMID:30237141|PMID:28072387|PMID:27551436|PMID:22385657|PMID:27441386|PMID:21179478|PMID:24063805|PMID:27606067|PMID:22318224|PMID:21806978|PMID:15866156|PMID:21937596|PMID:22427692|PMID:19564616|PMID:24040508|PMID:29273738|PMID:26516985	neoblast compartment | ASC|adult somatic stem cell|adult stem cell|pASC|planarian adult stem cell|planarian stem cell|somatic stem cell		
PLANA:0000223	female germline stem cell	PLANA:0000223	oogonial stem cell	PLANA:0000223	oogonial stem cell	A piwi-1+, nanos+ cell residing in the ovary that self-renews and give rise to oogonial cells that differentiate into oocytes.	PMID:19022767|PMID:20844018	PMID:27163480|PMID:25278423|PMID:23652002|PMID:27330085|PMID:27149082	female germ cell|female germline cell|female germline stem cell|oogonial stem cell|ovarian germline stem cell		
PLANA:0000404	cavity of pharynx	PLANA:0000404	pharynx lumen	PLANA:0000404	pharynx lumen	Depicted by field contains hematoxylin and eosin staining section of a asexual adult animal. Cavity of pharynx is indicated by arrows. Scale bar = 250um		PMID:24120894	cavity of pharynx | pharynx cavity | pharyngeal lumen		
PLANA:0007556	temporary embryonic pharynx cavity	PLANA:0007556	temporary embryonic pharynx cavity	PLANA:0007556	temporary embryonic pharynx cavity	Anatomical space enclosed by the temporary embryonic pharynx epithelial cells. Lumen through which yolk cells are transported into the embryonic gut cavity.	PMID:28072387		temporary embryonic pharynx lumen		
PLANA:0000019	muscle progenitor	PLANA:0000019	muscle progenitor cell	PLANA:0000019	muscle progenitor cell	Progenitor neoblasts implicated in the maintenance and regeneration of muscle fibers.	PMID:25017721	PMID:30471994|PMID:29674432|PMID:29674431			
PLANA:0000405	lumen of digestive tract	PLANA:0000405	digestive tract lumen	PLANA:0000405	digestive tract lumen	An anatomical space that is surrounded by a digestive tract.	PMID:21664348	PMID:28072387|PMID:17553481|PMID:21828097	gut cavity | digestive system lumen| lumen of digestive tract		
